Emoji unice în predicții: 594
{'💑', '👙', '🎁', '🍟', '🧥', '♻', '🏠', '☔', '👃', '🛩', '👪', '🪴', '😎', '🛡', '🐦', '🚤', '🚒', '🏛', '🧵', '🐕', '🦉', '💸', '🔢', '⚽', '✏', '👍', '🇪', '🥢', '\u200d', '🎨', '🍣', '📝', '🐬', '🍍', '💣', '💥', '🔩', '🦩', '👔', '🌙', '🌑', '😺', '🌨', '🌩', '🐢', '🛵', '🖋', '🎬', '📜', '💛', '✂', '⛺', '🕺', '👑', '🌭', '🛏', '🚣', '🍛', '💪', '🐈', '🥾', '🍰', '🪑', '🏭', '🧑', '🌆', '🍀', '🍔', '🦋', '🇯', '🦷', '💞', '🏜', '💚', '🥶', '🦰', '🏰', '🏸', '🎋', '🍎', '📅', '🧐', '🇲', '🧽', '💊', '💆', '🚛', '👨', '☁', '🍜', '🧹', '🙈', '👯', '🕯', '🏽', '🔋', '🌱', '🥓', '🆘', '🏞', '😱', '🍝', '👏', '🕊', '🧱', '📌', '🔊', '🌏', '🚜', '🏕', '📐', '🪛', '⚕', '🦊', '🐡', '💉', '🪵', '🌅', '🐶', '🧘', '🍑', '🏍', '🤹', '🌯', '🏟', '🎢', '🎮', '✋', '🧩', '🇩', '🍌', '🇽', '🩰', '📽', '🎵', '🖐', '🛍', '🗞', '🛠', '🏋', '🌐', '📖', '🧗', '😢', '🎹', '🏯', '🆒', '🎾', '🤵', '🇦', '🥁', '👗', '🥦', '🤔', '🛶', '🎶', '🎡', '🤓', '🎊', '🍅', '👵', '🚴', '🕶', '❄', '👸', '💧', '🍞', '⛹', '🚗', '🌎', 'n', '🔛', '🆕', '🧊', '🎞', '🍽', '🍲', '🕹', '✈', '🍄', '😤', '👋', '🩺', '💕', '🌿', '🍫', '🌼', '🌌', '🛣', '🎻', '🧰', '🦅', '😬', '💐', '🐧', '🥘', '🚌', '🖥', '🪚', '🚅', '🥤', '🎼', '🏘', '🤩', '🎿', '♂', '🦴', '🍳', '🍱', '😄', '✅', '🚿', '🌵', '👷', '🥕', '🗝', '💇', '🇴', '🤖', '💃', '📰', '🇰', '🔨', '😮', '⛄', '🐟', '🎆', '👢', '🐠', '🖊', '🌸', '🍿', '🎸', '🥊', '🛀', '🌴', '👠', '🕌', '🐼', '🥒', '👶', '🏌', '😋', '🧭', '👚', '😲', '💭', '🚪', '💜', '🥥', '🪟', '⛱', '🏥', '💦', '🌬', '🍨', '💯', '🏎', '🌫', '🐒', '👁', '🥛', '🔎', '❗', '🥩', '🇨', '💰', '🌞', '🐅', '⭐', '🐛', '🦢', '💻', '☮', '🕰', '😞', '🏂', '👴', '⚱', '🏖', '🍃', '🚶', '🎯', '🍦', '👉', '🗻', '🔗', '🪄', '🦌', '🍪', '👬', '😇', '🤙', '🥧', '⚡', '🐾', '👣', '🐳', '🎠', '📱', '🥋', '🇮', '💔', '🌇', '😷', '🕴', '🧙', '🍢', '🩱', '🌄', '🍷', '📈', '📦', '🥣', '⛪', '💓', '🌍', '🗿', '🎃', '🏈', '😅', '🤿', '🍗', '🩳', '📊', '👘', '😰', '🌳', '🍵', '✝', '🧓', '⛑', '🏗', '🌥', '🎪', '🌉', '🐱', '🚫', '⚾', '🏄', '🍉', '☕', '👧', '👜', '🗓', '🏩', '🌽', '🍻', '🐺', '📚', '🍁', '🏻', '🦁', '🇬', '🤣', '🥅', '💎', '🛴', '💬', '🐆', '💒', '🎳', '😂', '🧀', '🖌', '🌟', '💡', '🇭', '🥬', '🎩', '👥', '💙', '🔥', '☀', '🏢', '🧈', '🧚', '🤝', '🥄', '😩', '🗼', '💖', '🎎', '🔫', '🍂', '🤤', '🌤', '😕', '💅', '🚘', '🌾', '🥗', '📸', '⚙', '🌹', '🍕', '🥪', '🙏', '⛈', '🗽', '☃', '🛋', '🎓', '🏔', '🇳', '🏫', '👐', '🐋', '🇵', '🇧', '🩹', '🌮', '🧺', '📷', '🌃', '👟', '🌧', '🐻', '💁', '🏆', '🦒', '🎉', '🎖', '📢', '️', '⌛', '👌', '⛷', '📏', '🥟', '🔲', '🛹', '🥳', '👦', '🧁', '🤞', '🌷', '🌪', '💨', '🎀', '🧳', '🤜', '🖼', '😘', '🥰', '🏙', '💗', '⚒', '👀', '🚙', '🌡', '📘', '🔳', '🧼', '✨', '🦸', '🗺', '🕳', '🤯', '💄', '😴', '🎧', '🌲', '🚐', '🔄', '🪶', '🏅', '✔', '🚧', '🗣', '🔝', '🔒', '🥐', '🚚', '🔌', '🚲', '🙂', '⛳', '🖤', '😻', '🎟', '🍓', '🐰', '👭', '👰', '❤', '🏁', '🍯', '😆', '🎇', '⏰', '🧠', '🌻', '🇺', '🔮', '😍', '🕵', '👻', '🏐', '🍴', '🇫', '👂', '🏺', '🚀', '😔', '🥵', '🍚', '💤', '🏊', '⛩', '😫', '🔑', '🐿', '🎥', '🧶', '🇸', 'a', '🐝', '👕', '➡', '🎭', '🏝', '👫', '🏬', '💫', '🛒', '🎂', '🎷', '🏼', '🔧', '🏀', '🛌', '🥑', '🧣', '🚰', '🎌', '🚦', '🕍', '💍', '😁', '👖', '👅', '✍', '🔬', '🤗', '🔍', '🦇', '😌', '🧢', '😃', '🌀', '✊', '⚖', '⛵', '🪂', '🍹', '😭', '👊', '🤸', '♀', '🙌', '🇷', '🧂', '🎤', '💾', '👡', '⏳', '🌈', '🌶', '🌊', '🐨', '👩', '🕉', '🎲', '📺', '🏡', '🤘', '🚵', '⛰', '🥞', '🏃', '⛸', '🦜', '📿', '😊', '🚨', '🪓', '🌺', '🐘', '🔪', '🇹', '💼', '🤪', '🎄'}

===============================
        GLOBAL METRICI
===============================

Exact Match         : 0.0000
Emoji F1            : 0.3614
Jaccard             : 0.2555
Avg Levenshtein     : 7.3556
Avg Length Diff     : 3.1222
BLEU                : 0.0000
ChrF                : 6.6861

===============================
        STATISTICI AVANSATE
===============================

Lungimi predicții:
Avg True Len        : 7.7545
Avg Pred Len        : 6.1032
Std True Len        : 3.5386
Std Pred Len        : 2.7254

Under/Over-generation:
Under-generate      : 0.5963
Over-generate       : 0.2884
Equal length        : 0.1153

Top 20 emoji în TRUE:
[('️', 2047), ('\u200d', 571), ('✨', 345), ('❤', 227), ('♀', 222), ('💪', 211), ('🎨', 161), ('🔥', 160), ('🌸', 147), ('😍', 136), ('🌿', 128), ('🌟', 123), ('♂', 113), ('🌊', 110), ('☀', 105), ('🌳', 105), ('👩', 104), ('🌈', 102), ('💃', 102), ('🏞', 102)]

Top 20 emoji în PRED:
[('️', 560), ('\u200d', 344), ('🔥', 263), ('❤', 220), ('♀', 213), ('✨', 212), ('💪', 198), ('🏞', 166), ('😍', 165), ('🌿', 162), ('☀', 155), ('🌟', 151), ('🌸', 145), ('🎨', 140), ('🌳', 137), ('😌', 135), ('🌞', 125), ('💃', 119), ('🎉', 116), ('💨', 113)]

true,pred,exact_match,emoji_f1,jaccard,levenshtein,len_true,len_pred,len_diff
💔😔😢💧😭😞,💔😍😔😢,0,0.6,0.42857142857142855,4,6,4,2
👨‍🔧💡♾🛠️✅,🏗💪💼🔧🔨🔩🛠🧰,0,0.25,0.14285714285714285,7,8,8,0
⚡🤩🎉🌈💃✨,⏰🎉🤩,0,0.4444444444444444,0.2857142857142857,5,6,3,3
☀️🌸👗💃🌺🌈,☀🌸🌺🌼👗💃😍,0,0.7142857142857143,0.5555555555555556,5,7,7,0
👵🍴👩‍👦‍👦❤️,‍🍳👨👩,0,0.30769230769230765,0.2222222222222222,8,9,4,5
😴💤🥱😒,‍♀💤😴,0,0.5,0.3333333333333333,4,4,4,0
🤩✈️🎒,✈🌍🌴🗺🤩🧳,0,0.4,0.25,6,4,6,2
🌻😄🌞✨🌻😄🌞✨,☀🌞🌻💛😄😊,0,0.42857142857142855,0.42857142857142855,6,8,6,2
⚽🤸‍♀️🏋️‍♀️🥇⭐👭👬❤️😄,⚽🎉🏀🏆🙌,0,0.0909090909090909,0.0625,16,17,5,12
😂☺️🎉,😂🤣,0,0.3333333333333333,0.2,3,4,2,2
😍🍨🍓🍌🍯,❄🍦🍨😋,0,0.22222222222222224,0.125,5,5,4,1
🥪🧀🌧️🍞😋,🍞🔥😋🥪🧀,0,0.7272727272727272,0.5714285714285714,6,6,5,1
🏙️🗼☁️❗,️🌥🏗🏙🏢📏,0,0.3333333333333333,0.2222222222222222,6,6,6,0
🇨🇦🏞️🌊🌄🍁🐻🦌⛰️🌀🔮,⛰️🌊🏔🏞💦💧🗺🛶,0,0.3636363636363637,0.23529411764705882,11,13,9,4
😴💪🏻🎉,💪😌😴,0,0.5714285714285715,0.4,3,4,3,1
⚽⚡💥🔥🤷🗣⚽🌪️😱💥,⚽🎉🙌🤝🥅,0,0.12500000000000003,0.07692307692307693,10,11,5,6
❤️🥰💕🌟,❤💕💖,0,0.5,0.3333333333333333,3,5,3,2
🔧💪🏽😌,🔌🔧🔩🛠🪛,0,0.22222222222222224,0.125,4,4,5,1
🎆💥🌸🌼💥🎇,✨🌸🌺🎆🎉,0,0.3636363636363636,0.25,5,6,5,1
👨‍🍳🧑‍💼🧚‍♂️🌶️🧂🍜,‍🍳🍽🎨👨👩🧑,0,0.38095238095238093,0.2857142857142857,12,14,7,7
🦅🏔️😲👁️‍🗨️🦾🐻🦌,❤️🌄🌅🌳🏔👣💨🦅,0,0.28571428571428575,0.1875,11,12,9,3
⚡🫖🔌❌,❄🌡🔌🚫🥤,0,0.22222222222222224,0.125,4,4,5,1
🤙🏄🌊🌪️⛰️🆓🆚,♂️🌊🏄😎🛹🤙,0,0.5,0.36363636363636365,8,9,7,2
🥐🍞💫💛,❤🌅😌😍,0,0.0,0.0,4,4,4,0
🌄🌳🌊🏞️🌻🏰🌄,♀️🌆🌳🏞🏡💆🗺,0,0.375,0.25,8,8,8,0
🌟🎭👥💃🤔🏢🌙📣,🌎🌟🎭👥👩🙌🤝,0,0.39999999999999997,0.25,6,8,7,1
🏰📜🕰️😮,🏛🏰👑📜🔮,0,0.4000000000000001,0.25,5,5,5,0
👟✨😌👌,🆕👌👖👟💯🔥😍,0,0.36363636363636365,0.2222222222222222,6,4,7,3
🧘‍♀️💪☮️🙏✨,‍♀♂✨️🌟🏋🏽💆💪🙏🤸🧘🧠,0,0.6086956521739131,0.4666666666666667,11,9,14,5
🖤👖🧘‍♀️🏋️‍♀️💻🥳,♀✨🌟🏻💃💥💫🔥🕺,0,0.09090909090909093,0.058823529411764705,12,13,9,4
🎮💼💪🌍🎮🖼️😮💥💭🔥,🌟🎮💻🤩,0,0.13333333333333333,0.07692307692307693,10,11,4,7
⚒️💻,‍💪💯💼,0,0.0,0.0,4,3,4,1
📚🌧️🔍🤷‍♀️😱🌫️🏞️🌷🍵📘,🌙🌧🍵📖📚😌🛋🛌,0,0.25,0.16666666666666666,15,16,8,8
👩‍🍳🎶🍽️😋💖🎉,‍🍲🍳🍴🍽👨👩🔥,0,0.47058823529411764,0.3076923076923077,7,9,8,1
📰🖊️🗞️📸✈️🔎🔦,✍🌍💡,0,0.0,0.0,10,10,3,7
🥄👨🏻‍🍳🥚🍯🌾🧁,🍞🍳🥄🥛🥣,0,0.2857142857142857,0.16666666666666666,8,9,5,4
🔥☄️🔥🌍✈️🏖️🍦😎,‍☀️🌊🏖,0,0.25000000000000006,0.18181818181818182,9,11,5,6
🛣️🏍️😎,️🏍💨🛣🛵,0,0.6,0.5,4,5,5,0
🎀🌸🌿💕,🌈🌷🌸🌺🌻🌼🎨💐,0,0.16666666666666666,0.09090909090909091,7,4,8,4
🏞️⛰️🥾😍😲,♀️🌄🌲🏔🚶🥾,0,0.2857142857142857,0.18181818181818182,6,7,7,0
❄️🌬️🌨️,☁🌈,0,0.0,0.0,6,6,2,4
🌬️🧣🔥☕❄️🎅🏻🎄,☕❄🍫💤🔥😌🛋🧣,0,0.4444444444444445,0.3076923076923077,10,10,8,2
⛰️🥾💪🏼🌲☀️,️🌲🌳,0,0.36363636363636365,0.25,6,8,3,5
👫🏻👭🏻💕🤣👯🌟,❤🌟👫👯💕💞😂🤗🤝,0,0.47058823529411764,0.3333333333333333,8,8,9,1
🏞️🌌🌠🎆🟣🟢🟡❤️✨,✨🌃🌈🌌🌟💃💥💫,0,0.2105263157894737,0.125,11,11,8,3
🏈🖋️💪🚧,‍⚽🏀🏟💃💪🔥🤝,0,0.15384615384615385,0.08333333333333333,7,5,8,3
🔧🆘💪⚡💄🔄😮,➡💡💪🔧🔩,0,0.3333333333333333,0.2,6,7,5,2
🧥❄️🍂✨🌨️🌬️🔥,🍁🍂🧥🧶,0,0.28571428571428575,0.2,9,10,4,6
🏙🎨🔲✊💬,‍️🌆🎨🏙👥💥🖌🚧🚶,0,0.26666666666666666,0.15384615384615385,9,5,10,5
🌸🌟😆,☀❤🌸🌺😍,0,0.25,0.14285714285714285,4,3,5,2
🎵🔮🌟🕺🖼️🎸🎶💛,♀🌸🎵🎶🎻🎼💃🕺😌🧘🩰,0,0.3,0.17647058823529413,10,9,11,2
🌸🌼🌷🌞,☀✨🌞🌷🌸🌺🌼🍃,0,0.6666666666666666,0.5,7,4,8,4
🙏💜🤝😔❤️✊💪,❤🌟🙌🙏🤗,0,0.3076923076923077,0.18181818181818182,8,8,5,3
🌸🎨🌈,✨🌸🌺🌿,0,0.28571428571428575,0.16666666666666666,3,3,4,1
📍🤲🦐🥔🍓,🍽💦,0,0.0,0.0,5,5,2,3
👩‍🍳🧁🍪🕒👀,‍🍳🍴👧👨👩🧑,0,0.42857142857142855,0.2727272727272727,6,7,7,0
🍱🌸👘,✈️🧳,0,0.0,0.0,3,3,3,0
🏁🏎️🌬️👑,🏁🏎💥💨🔥,0,0.3636363636363636,0.25,4,6,5,1
❤️👨‍👧‍👧🍗🎉,‍♀❤️🏻👦👧👨🧑,0,0.5555555555555556,0.45454545454545453,8,9,9,0
