Emoji unice în predicții: 671
{'🍵', '🍀', '👗', '🐘', '🇪', '🧜', '🌬', '🔲', '🌠', '🪵', '🐺', '🧚', '🌨', '📚', '🥦', '👶', '🏎', '🤞', '🔆', '📢', '🐒', '⚕', '⛩', '😄', '🛒', '🤣', 'n', '🕰', '🛩', '️', '💡', '🎋', '🦴', '🏨', '🥟', '🪑', '🔴', '🫂', '🧑', '🌽', '📐', '✂', '🐿', '🌅', '🏔', '🤵', '👠', '🌐', '🍺', '🏣', '🏼', '🤔', '🇮', '😞', '🍨', '🧒', '🌉', '✔', '🙅', '🖋', '🐇', '🐻', '⚔', '🐦', '⛰', '✨', '🚑', '🚧', '👋', '🤩', '🧀', '🏃', '🌻', '😂', '🐆', '🥋', '🧶', '🕳', '👌', '🗻', '🔛', '💎', '☃', '🎁', '🌀', '🔗', '😌', '🍚', '🎇', '🐠', '🔙', '🍗', '♀', '🕊', '🎥', '🏍', '🥣', '⏩', '🦇', '🙌', '🚣', '🔳', '🍖', '🚒', '🥊', '✊', '🌁', '🐳', '👎', '📦', '🏌', '🗃', '🌷', '📜', '🗝', '😬', '💁', '⛹', '🇩', '👏', '😁', '👃', '👻', '📺', '🪜', '👡', '🪶', '💲', '🔪', '🥰', '👕', '🆘', '🗼', '👧', '😤', '🎳', '🔭', '☺', '🎖', '🧈', '📰', '👜', '🏝', '🥁', '🌌', '🍄', '🗾', '⛅', '👷', '🥗', '🏯', '⛄', '🍞', '🐬', '🤖', '🗺', '🏬', '📷', '🧽', '🐢', '🐰', '🏆', '🏖', '🌈', '🌆', '💬', '🥛', '🏀', '📈', '🧠', '☔', '⌛', '👑', '🏙', '⚽', '🌾', '🦅', '✝', '🥒', '💆', '🏐', '🤷', '🐚', '🛶', '🧥', '🎓', '💐', '🇵', '👬', '😲', '😵', '🔐', '🍱', '🛌', '⛈', '🏟', '😢', '🇫', '👴', '🔎', '😅', '💞', '🚗', '🧱', '🧭', '🐼', '🚫', '🌯', '🏡', '💭', '👰', '🎞', '🌟', '🌎', '🧹', '🧵', '🚐', '💊', '🎷', '🍎', '🥼', '🎒', '🐋', '👯', '🍝', '🍳', '🌊', '💧', '🏋', '😆', '🎬', '🌄', '🧗', '🥂', '💖', '🏭', '🔧', '🌪', '🧊', '🚀', '🇸', '🐜', '🌫', '🎃', '🥤', '🔌', '⏰', '🧐', '❌', '😫', '🕹', '🥧', '🥓', '🌶', '✍', '🙂', '🆕', '🧙', '👐', '🍙', '📊', '🌩', '🤸', '👉', '🛋', '👒', '🗣', '✋', '🏮', '🔦', '🥬', '📣', '🍛', '🧢', '🎩', '🔬', '🐈', '👊', '😃', '❓', '👔', '👫', '🐕', '🦄', '🖤', '🇭', '🍪', '👸', '🧘', '🧦', '🏁', '🤝', '😓', '😎', '🪛', '🦰', '🍲', '⛪', '🖌', '⛵', '👩', '🥑', '😈', '🇹', '💼', '💉', '🩺', '🍃', '😺', '🇬', '🗯', '🚨', '🧡', '🛁', '🌍', '🤗', '🕌', '⛺', '🤜', '🤓', '🦢', '😮', '💨', '🚚', '💓', '👵', '🧳', '🧖', '🇨', '🧼', '👨', '🍫', '🚍', '🌸', '🥚', '🌰', '🌧', '🚜', '🤯', '🛫', '💔', '💑', '😷', '⛷', '🐱', '🍣', '📝', '🧁', '🍷', '🦸', '👪', '🗓', '🏠', '🍍', '🗽', '🚪', '😰', '🦳', '🧓', '🎻', '👥', '🪨', '🍜', '🏥', '🤹', '🍦', '🛵', '🆒', '🇱', '🏢', '💻', '🕍', '🔜', '➡', '❄', '🍁', '🎾', '🇽', '🥘', '🔋', '🦐', '🎂', '🇯', '🕶', '😊', '☀', 'a', '😋', '🛥', '⚡', '🏺', '🌱', '👀', '🚶', '🏽', '🐶', '👅', '💸', '🧂', '🇺', '🤡', '☮', '💦', '💒', '🇧', '🛏', '🤤', '🤴', '💍', '⏱', '🚵', '💮', '⭐', '🍰', '🎊', '😣', '🔄', '🏻', '🌿', '🌤', '🛀', '💕', '🌺', '➕', '🛠', '🔮', '✏', '📉', '🎹', '🖥', '🔨', '🌲', '👢', '🎸', '🐍', '😭', '🇲', '📏', '🦌', '👖', '🧅', '🦩', '🌮', '🧰', '😻', '🌞', '🎶', '🕉', '💫', '🍌', '🧤', '🚅', '🐾', '🐟', '🦋', '🩳', '😍', '👍', '🎯', '🔩', '🚿', '🪂', '🏄', '🏊', '🍟', '👦', '📸', '🍂', '🖼', '💄', '🚙', '💗', '☁', '⚾', '🏕', '✌', '🩹', '🥵', '🇴', '🎟', '🎨', '🍉', '🏈', '💙', '🦒', '🤿', '🥄', '🌳', '🔑', '😴', '🩰', '📱', '⏳', '🐧', '🏅', '📅', '🎡', '🍿', '🍽', '🎿', '🐡', '🐑', '🫔', '⚙', '⛸', '🌡', '🍹', '💅', '🧪', '🌇', '🛴', '🔒', '🤙', '🧸', '🛍', '🍅', '💳', '🚤', '👙', '🎈', '🪟', '🌑', '🌴', '🌭', '🔥', '🎄', '🏵', '🔁', '🎆', '↔', '🔵', '💃', '🏛', '🍓', '🌼', '😱', '💇', '💘', '💯', '🎲', '🎎', '🚰', '🥐', '🏰', '🇦', '🪚', '🌥', '🇷', '🥶', '🦁', '🍴', '🛹', '👚', '🗿', '🥞', '🦉', '🕵', '😒', '😇', '📽', '☑', '💚', '\u200d', '🧣', '🍢', '⛓', '👭', '👁', '🤪', '🥩', '🚦', '🥅', '🍤', '😨', '🎉', '💥', '☕', '💰', '🛣', '🧩', '🇰', '🚴', '🏫', '🖐', '🥕', '🤏', '🙏', '🌃', '🦏', '🖊', '🎪', '🍶', '🏗', '👟', '🧺', '🕺', '💣', '🤘', '🦜', '💾', '🐵', '🇳', '🏘', '✈', '🌵', '👣', '🎼', '🎤', '⛱', '🎠', '🔫', '🥳', '👂', '🪓', '🏜', '♂', '🙈', '🥾', '🎮', '🕴', '🏂', '🪄', '⚖', '🏞', '✅', '💛', '📖', '🫖', '🗨', '🎵', '💜', '🥇', '🤲', '🥪', '🍔', '🌙', '🚲', '🎧', '🎺', '🪒', '🪴', '🐅', '🍇', '🦷', '🐨', '🎭', '🔍', '🎢', '⛳', '😩', '🍮', '🤕', '🤽', '🍕', '🚌', '🌹', '🔝', '🥢', '🔊', '❤', '🚘', '⚒', '🍯', '😕', '🐝', '🍾', '🕷', '🚛', '💤', '💪', '😔'}

===============================
        GLOBAL METRICI
===============================

Exact Match         : 0.0000
Emoji F1            : 0.3777
Jaccard             : 0.2666
Avg Levenshtein     : 8.0275
Avg Length Diff     : 3.0386
BLEU                : 0.0000
ChrF                : 7.3212

===============================
        STATISTICI AVANSATE
===============================

Lungimi predicții:
Avg True Len        : 7.7545
Avg Pred Len        : 7.6608
Std True Len        : 3.5386
Std Pred Len        : 3.0924

Under/Over-generation:
Under-generate      : 0.4296
Over-generate       : 0.4582
Equal length        : 0.1122

Top 20 emoji în TRUE:
[('️', 2047), ('\u200d', 571), ('✨', 345), ('❤', 227), ('♀', 222), ('💪', 211), ('🎨', 161), ('🔥', 160), ('🌸', 147), ('😍', 136), ('🌿', 128), ('🌟', 123), ('♂', 113), ('🌊', 110), ('☀', 105), ('🌳', 105), ('👩', 104), ('🌈', 102), ('💃', 102), ('🏞', 102)]

Top 20 emoji în PRED:
[('️', 1124), ('✨', 503), ('\u200d', 401), ('❤', 330), ('💪', 270), ('🔥', 224), ('♀', 217), ('😍', 184), ('🌿', 183), ('🎨', 166), ('🌟', 164), ('🏞', 156), ('🌳', 154), ('🌞', 152), ('☀', 152), ('🌸', 140), ('😌', 139), ('🎉', 138), ('🌊', 127), ('💫', 126)]


true,pred,exact_match,emoji_f1,jaccard,levenshtein,len_true,len_pred,len_diff
💔😔😢💧😭😞,❤💔😄😍😔😞😢,0,0.6153846153846153,0.4444444444444444,6,6,7,1
👨‍🔧💡♾🛠️✅,✨️💪🔧🔨🔩🛠🧰,0,0.375,0.23076923076923078,7,8,8,0
⚡🤩🎉🌈💃✨,✨🌟🎉💥😃😬🙌🤩,0,0.42857142857142855,0.2727272727272727,7,6,8,2
☀️🌸👗💃🌺🌈,✨️🌸🌺🌼🎨👗💃💖😍,0,0.588235294117647,0.4166666666666667,6,7,10,3
👵🍴👩‍👦‍👦❤️,‍❤🌟🍳🎉👨👩,0,0.375,0.2727272727272727,9,9,7,2
😴💤🥱😒,‍♀️👎💆💤😣😩😴,0,0.30769230769230765,0.18181818181818182,8,4,9,5
🤩✈️🎒,✈️🌴🗺🤩🧳,0,0.6,0.42857142857142855,5,4,6,2
🌻😄🌞✨🌻😄🌞✨,🌞🌻💛😄😊,0,0.4615384615384615,0.5,6,8,5,3
⚽🤸‍♀️🏋️‍♀️🥇⭐👭👬❤️😄,‍♀️🏀🏆🏋💪🔥🙌🤝,0,0.29629629629629634,0.2222222222222222,14,17,10,7
😂☺️🎉,😂😄🤣🤪,0,0.25,0.14285714285714285,3,4,4,0
😍🍨🍓🍌🍯,️🍦🍨😋😍,0,0.4000000000000001,0.25,5,5,5,0
🥪🧀🌧️🍞😋,🍞🔥😋🥪🧀,0,0.7272727272727272,0.5714285714285714,6,6,5,1
🏙️🗼☁️❗,️🌇🌥🏙🏢🏣👀📏🗼,0,0.4,0.2727272727272727,8,6,9,3
🇨🇦🏞️🌊🌄🍁🐻🦌⛰️🌀🔮,⛰️🌊🏔🏞💦,0,0.42105263157894735,0.2857142857142857,11,13,6,7
😴💪🏻🎉,☕💤💪😅😌😴🛌,0,0.36363636363636365,0.2222222222222222,6,4,7,3
⚽⚡💥🔥🤷🗣⚽🌪️😱💥,⚽️🎉🙌🤝🥅,0,0.23529411764705885,0.15384615384615385,10,11,6,5
❤️🥰💕🌟,✨❤💕,0,0.5,0.3333333333333333,4,5,3,2
🔧💪🏽😌,️🔧🔩😌🛠🪑,0,0.4,0.25,5,4,6,2
🎆💥🌸🌼💥🎇,✨🌷🌸🌺🎆🎇🎉💐💖💫,0,0.37499999999999994,0.25,8,6,10,4
👨‍🍳🧑‍💼🧚‍♂️🌶️🧂🍜,‍️🌍🌶🍳🍴🍽🎨👨👩💡🥘,0,0.3846153846153846,0.2777777777777778,13,14,12,2
🦅🏔️😲👁️‍🗨️🦾🐻🦌,⛰❤️🌄🌅🌲🌻🌿🏔🏞👣💨😮🚶🥾🦅,0,0.21428571428571427,0.13043478260869565,15,12,16,4
⚡🫖🔌❌,⏰✨🌡💫🔌🔥🥤,0,0.18181818181818182,0.1,6,4,7,3
🤙🏄🌊🌪️⛰️🆓🆚,♂️🌊🏄💨🔥😎🚀🛹🤙🤪🤸,0,0.380952380952381,0.25,11,9,12,3
🥐🍞💫💛,🌅🍞😌😍🥐,0,0.4444444444444445,0.2857142857142857,4,4,5,1
🌄🌳🌊🏞️🌻🏰🌄,️🌄🌊🌳🍃🏕🏞🏡🗺🛣,0,0.5555555555555556,0.4166666666666667,8,8,10,2
🌟🎭👥💃🤔🏢🌙📣,️🌎🌟🎨🎭👥🙌🤝,0,0.375,0.23076923076923078,8,8,8,0
🏰📜🕰️😮,⏳✨️🏛🏰📜🕰,0,0.6666666666666666,0.5,6,5,7,2
👟✨😌👌,✨️🆕👌💃💯😍,0,0.36363636363636365,0.2222222222222222,6,4,7,3
🧘‍♀️💪☮️🙏✨,‍♀♂✨️🌈🌞🌟🏋🏽💪🕉😊🙏🤸🧘,0,0.56,0.4117647058823529,12,9,16,7
🖤👖🧘‍♀️🏋️‍♀️💻🥳,♀✨️🌈🌟👖💁💃💫🔮🙌,0,0.24999999999999994,0.17647058823529413,13,13,11,2
🎮💼💪🌍🎮🖼️😮💥💭🔥,🌟🎮💻,0,0.14285714285714288,0.08333333333333333,10,11,3,8
⚒️💻,💪💯💼🔥😎🤝,0,0.0,0.0,6,3,6,3
📚🌧️🔍🤷‍♀️😱🌫️🏞️🌷🍵📘,🌧🍵📖📚😌🛋🛌,0,0.26086956521739124,0.17647058823529413,15,16,7,9
👩‍🍳🎶🍽️😋💖🎉,‍️🍲🍳🍴🍽👅👨👩🔥🔪,0,0.5,0.3333333333333333,9,9,11,2
📰🖊️🗞️📸✈️🔎🔦,✍✨️🌍🌟💡📰,0,0.23529411764705882,0.15384615384615385,9,10,7,3
🥄👨🏻‍🍳🥚🍯🌾🧁,🍞🥣,0,0.0,0.0,9,9,2,7
🔥☄️🔥🌍✈️🏖️🍦😎,‍☀️🌊🌞🌡🏖🔥,0,0.3157894736842105,0.23076923076923078,9,11,8,3
🛣️🏍️😎,‍☀️🌞🌬🏍💨🛣🛵,0,0.42857142857142855,0.3,7,5,9,4
🎀🌸🌿💕,✨🌈🌷🌸🌺🌼🎉🎨💐,0,0.15384615384615383,0.08333333333333333,8,4,9,5
🏞️⛰️🥾😍😲,⛰✨️🌄🌲🌿🏔💚💪🙌🚶🥾,0,0.3157894736842105,0.2,11,7,12,5
❄️🌬️🌨️,☁️🌤😌,0,0.2,0.14285714285714285,5,6,4,2
🌬️🧣🔥☕❄️🎅🏻🎄,☕❄🍫🏡🔥😌🛋🤗🧣,0,0.4210526315789474,0.2857142857142857,10,10,9,1
⛰️🥾💪🏼🌲☀️,⛰️🌄🌲🏔🏞💨,0,0.39999999999999997,0.2727272727272727,6,8,7,1
👫🏻👭🏻💕🤣👯🌟,✨👐👫👭👯💕💫📸🔐😂🤝🤪,0,0.4,0.26666666666666666,10,8,12,4
🏞️🌌🌠🎆🟣🟢🟡❤️✨,✨🌃🌈🌌🌟🎉🎶💃💥🔥🕺🤩,0,0.17391304347826086,0.1,11,11,12,1
🏈🖋️💪🚧,‍⚽🏀🏼💃💪📣🤝,0,0.15384615384615385,0.08333333333333333,7,5,8,3
🔧🆘💪⚡💄🔄😮,💡💪🔧🔩,0,0.36363636363636365,0.2222222222222222,6,7,4,3
🧥❄️🍂✨🌨️🌬️🔥,❄❤️🍁🍂💕🧥🧶,0,0.4444444444444445,0.3333333333333333,9,10,8,2
🏙🎨🔲✊💬,‍♂️🌃🌆🎨🏙🏢💥🚶,0,0.26666666666666666,0.15384615384615385,9,5,10,5
🌸🌟😆,✨❤🌞👌😍,0,0.0,0.0,5,3,5,2
🎵🔮🌟🕺🖼️🎸🎶💛,‍♀♂❤️🎵🎶🎷🎹🎼💃🕺🧘,0,0.3636363636363637,0.2222222222222222,12,9,13,4
🌸🌼🌷🌞,❤🌞🌷🌸🌺🌼🍃,0,0.7272727272727273,0.5714285714285714,6,4,7,3
🙏💜🤝😔❤️✊💪,‍❤️🏽💪😊🙏,0,0.5333333333333333,0.36363636363636365,7,8,7,1
🌸🎨🌈,✨🌸🌺🌿🎨💫,0,0.4444444444444444,0.2857142857142857,4,3,6,3
📍🤲🦐🥔🍓,❌️🍽💦🔪😋🚫,0,0.0,0.0,7,5,7,2
👩‍🍳🧁🍪🕒👀,‍🍪🍳👧👨👩🧑,0,0.5714285714285714,0.4,6,7,7,0
🍱🌸👘,✈🌴🍔🍣😋🛫🤩🧳,0,0.0,0.0,8,3,8,5
🏁🏎️🌬️👑,️🏁🏎💥💨💯🔥😱,0,0.42857142857142855,0.3,6,6,8,2
❤️👨‍👧‍👧🍗🎉,‍❤️🏠👥👦👧👨👩👪🤝🧑,0,0.4761904761904762,0.35714285714285715,9,9,12,3
🏞️❤️🌆⛵🚣‍♀️🌅🙏,‍♀️🌊🌳🏞,0,0.4444444444444444,0.3333333333333333,10,12,6,6
