Emoji unice în predicții: 726
{'🍾', '🍖', '👗', '🐑', '🇯', '😮', '🔲', '💦', '⛷', '🎀', '🤣', '👵', '🗻', '👜', '🧘', '🦸', '🎼', '🌩', '✏', '🗿', '🤔', '🚐', '🧱', '🗝', '🪂', '🥂', '👨', '🪟', '🔩', '🦍', '🤪', '💵', '🎡', '😓', '🔍', '🇺', '📘', '🇭', '🏰', '🧑', '👻', '🏹', '🎬', '🤳', '👞', '👛', '👴', '🫒', '🚫', '🐛', '😺', '🏐', '🐿', '💺', '👷', '🤞', '🧵', '🎂', '🚧', '🏼', '🔋', '🕸', '👡', '🤘', '🥚', '😃', '🙌', '🇩', '🌧', '💘', '🍠', '🍻', '🦘', '🧭', '🥪', '🥥', '🏕', '🐡', '🚛', '🥋', '🌔', '📊', '🤲', '🎎', '🌼', '🛶', '🛹', '🥧', '🍟', '💾', '👁', '🏮', '🏯', '📺', '🙈', '💄', '🍿', '🍺', '🐚', '🏛', '🍗', '🌹', '🍙', '👚', '🌳', '🇧', '🖥', '😌', '🐮', '😬', '🍔', '⛺', '🧊', '🧅', '🧀', '⏰', '🥦', '💡', '♀', '🚪', '🦖', '😰', '🛏', '📱', '🌄', '🧂', '💅', '🤤', '💎', '🩹', '⚾', '🎵', '👸', '🧽', '🔶', '🧚', '🎿', '🧿', '🏩', '🌭', '📈', '🏢', '🍫', '🍎', '🎷', '🧪', '🆒', '😆', '🕹', '🐜', '📄', '🥭', '🐋', '🌱', '🙂', '👾', '🔓', '🟣', '🧶', '🏃', '🕺', '🤙', '➕', '🖼', '☀', '🚰', '⛄', '🍶', '🦷', '🥐', '🚌', '💉', '🐒', '🩲', '🦢', '😴', '🍱', '♂', '🌋', '🦒', '🐆', '🍚', '😎', '🏆', '💕', '🇪', '🛍', '☑', '🔨', '🥛', '😂', '💻', '🦶', '🥇', '🏂', '🐓', '🍯', '😼', '🚕', '🌦', '🪵', '🎖', '🏌', '🌲', '🎈', '🇳', '👪', '🐬', '⬛', '😭', '👶', '🕰', '🌯', '🍌', '💛', '📷', '👒', '🥬', '🏺', '🥁', '🥒', '🎒', '💭', '🌀', '🍮', '👬', '🥾', '⌛', '💸', '🥩', '🏫', '🐍', '🍦', '🏔', '🎢', '⭐', '💨', '😫', '👥', '😍', '🍩', '🏡', '💒', '🗣', '⛏', '🛋', '🚶', '🍉', '⛈', '🔠', '💰', '🌡', '😷', '💪', '🇰', '🧳', '☃', '🏈', '🎻', '🎧', '😔', '💞', '👫', '❕', '🐶', '🌈', '👅', '😤', '🤸', '🧄', '🪓', '🚏', '👼', '📢', '🐝', '🥔', '🥏', '🤩', '👐', '🕌', '💁', '🧗', '🌻', '🪑', '🧰', '🍜', '🗽', '🍹', '📝', '🐟', '🎌', '🩳', '🛁', '💬', '🏻', '🕊', '🆙', '🎪', '🙏', '🐦', '🔢', '👔', '🔳', '⚖', '🚣', '🌁', '🔮', '💙', '🧣', '🔑', '🐢', '🫑', '🪥', '🏎', '🎳', '🌵', '🍪', '\u200d', '🇷', '🦴', '🕴', '💜', '🏬', '🖋', '⚔', '🤿', '🐺', '📡', '🐈', '💯', '🇴', '🦇', '😻', '🔴', '🌥', '⌨', '🖊', '🌷', '✈', '🗞', '🪶', '🍷', '🌙', '🦩', '🌴', '🍀', '🇬', '🎊', '🔔', '⏳', '🥟', '🔄', '🥡', '🇵', '🌺', '🎩', '💤', '🐯', '🧁', '🎥', '🦁', '🍨', '🚨', '🌎', '✂', '🛵', '👰', '🚙', '🐵', '🖤', '🐅', '⛳', '⛰', '👌', '😘', '🛼', '🏟', '🕳', '🎮', '🎉', '🍛', '🏪', '🍕', '💍', '☁', '🖌', '💆', '️', '🐳', '📅', '🎇', '🕶', '🍍', '🌨', '🚒', '🔌', '🐄', '🧼', '🛩', '⛹', '🔥', '👓', '🦥', '🏖', '👙', '📆', '🛌', '🚚', '🌾', '👂', '🐇', '🎏', '☕', '🤑', '📣', '💃', '⚡', '🇦', '🔝', '✔', '🍃', '🪔', '🧹', '🏘', '💼', '🌃', '🔭', '🔬', '✊', '💫', '🧈', '🎋', '🇽', '🥙', '🔗', '🍳', '❓', '⛸', '😞', '🇸', '🌍', '🚗', '🧥', '🪜', '❌', '🐙', '🍣', '📚', '🔙', '🏗', '📜', '🌬', '🩺', '🎶', '♥', '🤜', '✍', '🗃', '😄', '🍅', '🏞', '🔒', '🇹', '👩', '🥕', '👟', '🐰', '🟥', '🏠', '🚦', '🦳', '🚤', '😢', '🏙', '✌', '🐠', '🧯', '🤴', '👘', '🚴', '💧', '🪒', '🤗', '⚒', '🏨', '👢', '🧦', '😊', '🦊', '♻', '🧺', '👏', '👑', '😕', '🪴', '😸', '🥜', '🦌', '🦓', '🛒', '🦅', '👕', '😋', '💓', '🏅', '↔', '🪄', '⚫', '📦', '💑', '😱', '🥑', '🪛', '❄', '🏜', '🌐', '🥣', '🏁', '🇨', '🍴', '🔱', '🌌', '🕵', '🌸', '🌫', '🥤', '🖐', '⛪', '💥', '🎤', '🦚', '🎁', '🔀', '🍰', '🐼', '⚕', '🚑', '🍑', '🐱', '🎭', '🍝', '🏀', '🛥', '🗾', '🎆', '🌮', '🌽', '👦', '🥗', '🆓', '🧡', '👧', '🍄', '⛩', '🛫', '🧙', '🗼', '🤕', '🔎', '🏒', '🥅', '🚘', '🍤', '🧴', '🤓', '🦾', '🥢', '🎃', '✅', '🌊', '🍁', '🕉', '🔉', '🐘', '🚜', '🍞', '🦋', '🦉', '🥊', '🏳', '💮', '🏵', '🤹', '🕍', '🚲', '🌆', '🛀', '🍲', '👠', '😁', '👣', '🥳', '🤯', '🧸', '📏', '🆘', '🔐', '🎺', '🥶', '⚽', '🍂', '🤖', '💔', '➡', '💚', '🛠', '🇮', '🎨', '⛱', '🍢', '🦄', '🧩', '🔧', '💊', '🏄', '🍵', '✋', '😽', '🌿', '💇', '💣', '😀', '💲', '🔆', '🔊', '🛤', '😇', '💐', '🔵', '🚵', '🧠', '⚙', '🎍', '🎾', '🏥', '❤', '🔜', '🌰', '👀', '📰', '⛵', '🟠', '🌅', '🏍', '🌪', '☮', '📐', '🌟', '🧓', '📸', '🌉', '🥰', '🧒', '😅', '🔪', '🧐', '⚓', '🤝', '🎓', '🏝', '🙋', '🎲', '✝', '🆕', '🐧', '👯', '🐾', '🥞', '🌠', '🐨', '🏭', '💖', '👋', '🎟', '🏊', '🥓', '🗺', '🍓', '👊', '🐻', '👭', '🇲', '🛴', '🎹', '🌇', '🌤', '🪚', '🚍', '🇫', '🍇', '👖', '🦰', '💝', '🏋', '🌞', '🎞', '🩰', '☺', '🪁', '✨', '🗂', '🗑', '😵', '🏽', '🫂', '👉', '😩', '🍸', '🚀', '🍽', '🕯', '🌶', '🎯', '🦜', '😲', '👃', '🎸', '📖', '🥵', '🥘', '🚿', '👍', '😪', '☔', '🛣', '🧜'}

===============================
        GLOBAL METRICI
===============================

Exact Match         : 0.0000
Emoji F1            : 0.3913
Jaccard             : 0.2759
Avg Levenshtein     : 8.2985
Avg Length Diff     : 3.1440
BLEU                : 0.0000
ChrF                : 7.5875

===============================
        STATISTICI AVANSATE
===============================

Lungimi predicții:
Avg True Len        : 7.8925
Avg Pred Len        : 8.0975
Std True Len        : 3.6284
Std Pred Len        : 3.1343

Under/Over-generation:
Under-generate      : 0.3970
Over-generate       : 0.4975
Equal length        : 0.1055

Top 20 emoji în TRUE:
[('️', 2202), ('\u200d', 607), ('✨', 369), ('❤', 238), ('♀', 236), ('💪', 220), ('🔥', 173), ('🎨', 169), ('🌸', 147), ('😍', 138), ('🌿', 132), ('🌟', 128), ('♂', 123), ('🌊', 111), ('💃', 110), ('💥', 109), ('🌈', 107), ('☀', 107), ('👩', 107), ('🌳', 107)]

Top 20 emoji în PRED:
[('️', 1140), ('✨', 556), ('\u200d', 404), ('❤', 351), ('💪', 295), ('🔥', 249), ('😍', 235), ('♀', 205), ('🌟', 200), ('🌿', 194), ('🎨', 184), ('🌞', 176), ('🏞', 172), ('🌸', 163), ('😌', 162), ('🌳', 154), ('💃', 153), ('💨', 151), ('☀', 148), ('🌊', 145)]

true,pred,exact_match,emoji_f1,jaccard,levenshtein,len_true,len_pred,len_diff
💔😔😢💧😭😞,💔😔😞😢,0,0.8,0.6666666666666666,4,6,4,2
👨‍🔧💡♾🛠️✅,⚙️👷💪💻💼🔧🔨🔩🛠🧰,0,0.3157894736842105,0.1875,10,8,11,3
⚡🤩🎉🌈💃✨,✨🌟🎉💃💥💫🤞🤩🦋,0,0.5333333333333333,0.36363636363636365,8,6,9,3
☀️🌸👗💃🌺🌈,✨️🌈🌞🌴🌸🌺🌼👗💃,0,0.7058823529411764,0.5454545454545454,8,7,10,3
👵🍴👩‍👦‍👦❤️,‍❤🍲🍳🍴🍽👧👨👩👵,0,0.5263157894736842,0.4166666666666667,10,9,10,1
😴💤🥱😒,‍♀️💆💤😩😴,0,0.36363636363636365,0.2222222222222222,6,4,7,3
🤩✈️🎒,✈️🌴🎉🗺🤩,0,0.6,0.42857142857142855,5,4,6,2
🌻😄🌞✨🌻😄🌞✨,🌞🌻💛😃😄😊,0,0.42857142857142855,0.42857142857142855,7,8,6,2
⚽🤸‍♀️🏋️‍♀️🥇⭐👭👬❤️😄,♂⚽️🎉🏀🏆🏽💪🙌🤝,0,0.14814814814814817,0.1,16,17,10,7
😂☺️🎉,🏼👌💃💬😂😄😆🤣🤪,0,0.15384615384615383,0.08333333333333333,8,4,9,5
😍🍨🍓🍌🍯,✨🍦🍨😋😍,0,0.4000000000000001,0.25,5,5,5,0
🥪🧀🌧️🍞😋,🍞🔥😋🥪🧀,0,0.7272727272727272,0.5714285714285714,6,6,5,1
🏙️🗼☁️❗,️🌇🌤🌥🏙🏢👀🗼,0,0.42857142857142855,0.3,8,6,8,2
🇨🇦🏞️🌊🌄🍁🐻🦌⛰️🌀🔮,⛰️🌊🌲🌳🏔🏞🏰💦🗺,0,0.34782608695652173,0.2222222222222222,11,13,10,3
😴💪🏻🎉,‍♀️💆💤💪😅😌😩😴,0,0.28571428571428575,0.16666666666666666,9,4,10,6
⚽⚡💥🔥🤷🗣⚽🌪️😱💥,‍⚡⚽❤️🌍🏃💪🔗🤝🥅,0,0.2727272727272727,0.17647058823529413,10,11,11,0
❤️🥰💕🌟,✨❤💕🙌🙏🤗,0,0.3636363636363636,0.2222222222222222,5,5,6,1
🔧💪🏽😌,🔑🔧🔩🛠🪛,0,0.22222222222222224,0.125,4,4,5,1
🎆💥🌸🌼💥🎇,✨🌸🌺🎆🎉🪄,0,0.3333333333333333,0.2222222222222222,6,6,6,0
👨‍🍳🧑‍💼🧚‍♂️🌶️🧂🍜,‍🌶🍓🍜🍲🍳🍴🍽🎨👨👩💡🔪😋🥘,0,0.3448275862068965,0.23809523809523808,15,14,15,1
🦅🏔️😲👁️‍🗨️🦾🐻🦌,⛰✨❤️🌄🌅🌿🏔🏞💨😍😮🥾🦅,0,0.23076923076923075,0.14285714285714285,13,12,14,2
⚡🫖🔌❌,‍⚡️🌡🔌🔥,0,0.4,0.25,4,4,6,2
🎥🎙️📬💻🥯🏰,✍❤️🌍🌎💪💼📝📢📰🗣,0,0.1111111111111111,0.058823529411764705,10,7,11,4
🤙🏄🌊🌪️⛰️🆓🆚,️🌊🏄💨🕶🗽😎🚀🛹🤙,0,0.4210526315789474,0.2857142857142857,9,9,10,1
🥐🍞💫💛,✨🌅😌😍,0,0.0,0.0,4,4,4,0
🌄🌳🌊🏞️🌻🏰🌄,️🌊🌳🌴🌻🌿🍃🏖🏘🏞🏡😌,0,0.5,0.35714285714285715,11,8,12,4
🌟🎭👥💃🤔🏢🌙📣,✨🌎🌟🎨🎭🎶👥💥💫😢🙌🚀🤝,0,0.2857142857142857,0.16666666666666666,10,8,13,5
🏰📜🕰️😮,✨🏛🏰,0,0.25,0.14285714285714285,5,5,3,2
👟✨😌👌,✨👌👖💯🔝😍🛋,0,0.36363636363636365,0.2222222222222222,7,4,7,3
🧘‍♀️💪☮️🙏✨,‍♀♂️🌟🏻🏽💆💪🙏🤸🧘,0,0.5714285714285715,0.42857142857142855,9,9,12,3
🖤👖🧘‍♀️🏋️‍♀️💻🥳,‍♀✨️🌟🏻🏽💃💫🙌🙏,0,0.24999999999999994,0.17647058823529413,11,13,11,2
🎮💼💪🌍🎮🖼️😮💥💭🔥,🌟🎮👾💻📺🕹😎🚀🤩,0,0.09999999999999999,0.05555555555555555,11,11,9,2
⚒️💻,‍👨💪💻💼😎,0,0.2222222222222222,0.125,5,3,6,3
🆕😲🤔✍️💼🌍📴🖥️💭✒️👀🔌📰🤷🖥️🆓🔝,💡💪💻💼📝🚀,0,0.07407407407407407,0.045454545454545456,20,21,6,15
📚🌧️🔍🤷‍♀️😱🌫️🏞️🌷🍵📘,✨️🌧🍵📖📚🕯🛋🛌,0,0.32,0.2222222222222222,15,16,9,7
👩‍🍳🎶🍽️😋💖🎉,‍️🍳🍽👅👨👩😋,0,0.7058823529411765,0.5454545454545454,7,9,8,1
📰🖊️🗞️📸✈️🔎🔦,✍✨️🌍🌎🌟💫📢📰🗣,0,0.20000000000000004,0.125,9,10,10,0
🥄👨🏻‍🍳🥚🍯🌾🧁,🍞🍳,0,0.1818181818181818,0.1,8,9,2,7
🔥☄️🔥🌍✈️🏖️🍦😎,☀❄️🌊🌞🌡🌴🏖😎,0,0.3,0.21428571428571427,8,11,9,2
🛣️🏍️😎,️🌬🏍💨🔥😎🛣,0,0.6666666666666666,0.5714285714285714,5,5,7,2
🎀🌸🌿💕,🌈🌞🌷🌸🌺🌼💐,0,0.18181818181818182,0.1,6,4,7,3
🏞️⛰️🥾😍😲,⛰️🌄🌲🏔🏞👌💚😍😮🙌🚶🤩🥾,0,0.4761904761904762,0.3333333333333333,12,7,14,7
❄️🌬️🌨️,☁✨️🌅🌤😌,0,0.16666666666666666,0.1111111111111111,6,6,6,0
🌬️🧣🔥☕❄️🎅🏻🎄,❄️🍫💤🔥😌🛋🧣,0,0.4444444444444445,0.3076923076923077,9,10,8,2
⛰️🥾💪🏼🌲☀️,☀⛰️🌲🌳👣😌🚶🥾,0,0.5882352941176471,0.45454545454545453,7,8,9,1
🇬🇷⛱️🏖️👳‍♂️👳‍♀️🏺🧿🕊️,️🇧🇬🇷🌊🌶🍅🍷🏖🏛🏝🔱🧀🧿,0,0.31250000000000006,0.23809523809523808,17,18,14,4
👫🏻👭🏻💕🤣👯🌟,❤👦👧👭💕😂🤗🤝🤪,0,0.23529411764705882,0.14285714285714285,8,8,9,1
🏞️🌌🌠🎆🟣🟢🟡❤️✨,✨🌈🌌🌟🎶💃💥💫,0,0.2105263157894737,0.125,10,11,8,3
🏈🖋️💪🚧,‍⚽️🎵🏀🏟🏻💪📣🤝,0,0.26666666666666666,0.15384615384615385,8,5,10,5
🔧🆘💪⚡💄🔄😮,🍾💡💨🔓🥒🥳,0,0.0,0.0,7,7,6,1
🧥❄️🍂✨🌨️🌬️🔥,❄❤️🌬🍁🍂👕💕🧥🧶,0,0.5,0.38461538461538464,9,10,10,0
🏙🎨🔲✊💬,️🌆🎨🏙🏢👥💥💬🔍🖌🖼🗣🚧🚶,0,0.3157894736842105,0.1875,12,5,14,9
🌸🌟😆,☀️🌈🌞🌸🌺🌼😍,0,0.18181818181818182,0.1,7,3,8,5
🎵🔮🌟🕺🖼️🎸🎶💛,❤️🎵🎶🎼💃💭😌,0,0.35294117647058826,0.21428571428571427,9,9,8,1
🌸🌼🌷🌞,✨🌞🌷🌸🌼🍃🦋,0,0.7272727272727273,0.5714285714285714,5,4,7,3
🙏💜🤝😔❤️✊💪,❤️👨🙏,0,0.5,0.3333333333333333,6,8,4,4
🌸🎨🌈,✨🌸🌺🌿🎨👌💐,0,0.4,0.25,5,3,7,4
📍🤲🦐🥔🍓,❌💨,0,0.0,0.0,5,5,2,3
👩‍🍳🧁🍪🕒👀,‍❤🍪🍳👦👧👨👩🧑,0,0.5,0.3333333333333333,8,7,9,2
🍱🌸👘,✈🇯🇵🍣🍱💻,0,0.2222222222222222,0.125,6,3,6,3
🏁🏎️🌬️👑,⚡️🏁🏎💨🔥🚗,0,0.4615384615384615,0.3333333333333333,6,6,7,1
❤️👨‍👧‍👧🍗🎉,‍♀❤️🌲👥👦👧👨👩🤝🧑,0,0.4761904761904762,0.35714285714285715,9,9,12,3
